,class_hits,class_nums_total,function_hits,function_nums_total,variable_hits,variable_nums_total,string_hits,string_nums_total,comment_hits,comment_nums_total,docstring_hits,docstring_nums_total,trained_on
the_stack_python_script_18836.py,0.3333333333333333,3,0.6666666666666666,6,0.9444444444444444,18,0.3,30,0.0,0,0.0,0,0
the_stack_python_script_47715.py,0.16666666666666666,6,0.5,14,1.0,5,0.0,0,0.0,0,0.0,0,0
the_stack_python_script_87092.py,0.5,2,0.5,4,0.6,15,0.16666666666666666,18,0.6666666666666666,12,0.0,3,1
the_stack_python_script_14889.py,0.0,0,0.8181818181818182,11,0.7692307692307693,26,0.041666666666666664,24,0.0,0,0.0,0,0
the_stack_python_script_91887.py,0.0,0,0.0,0,0.8732394366197183,71,0.43902439024390244,41,0.0,3,0.0,0,1
the_stack_python_script_86741.py,0.0,0,0.0,0,1.0,2,0.5714285714285714,7,0.0,1,0.0,0,1
the_stack_python_script_16660.py,0.0,0,0.5,4,0.8461538461538461,13,0.0,2,0.18181818181818182,11,0.0,0,1
the_stack_python_script_47952.py,0.8,10,1.0,4,0.75,12,0.625,8,1.0,1,0.0,0,1
the_stack_python_script_8697.py,0.0,0,0.0,0,0.9,10,0.16666666666666666,12,0.0,0,0.0,0,0
the_stack_python_script_12695.py,0.0,0,0.0,0,1.0,1,1.0,2,0.0,0,0.0,0,0
the_stack_python_script_1576.py,0.0,0,0.0,0,1.0,10,0.18181818181818182,11,0.0,0,0.0,0,0
the_stack_python_script_8619.py,1.0,2,0.42857142857142855,7,0.875,16,0.125,16,0.0,3,0.0,6,1
the_stack_python_script_11513.py,0.5,2,0.7,10,0.8421052631578947,19,0.3333333333333333,6,0.3333333333333333,9,0.0,0,1
the_stack_python_script_92477.py,0.0,0,0.0,0,1.0,15,0.2857142857142857,14,0.0,2,0.0,0,1
the_stack_python_script_18221.py,0.0,2,0.75,4,0.6470588235294118,17,0.375,8,0.08,25,0.0,0,1
the_stack_python_script_92398.py,1.0,3,0.8571428571428571,14,0.9285714285714286,14,0.23076923076923078,13,0.3333333333333333,12,0.0,4,1
the_stack_python_script_99950.py,0.0,0,1.0,6,1.0,17,0.42857142857142855,14,0.0,2,0.0,2,1
the_stack_python_script_14034.py,0.0,0,0.0,0,1.0,4,0.4,5,0.2,5,0.0,0,1
the_stack_python_script_14974.py,0.0,0,1.0,1,0.8571428571428571,14,0.36363636363636365,11,0.5,18,0.0,1,1
the_stack_python_script_93031.py,1.0,2,0.875,8,0.9310344827586207,29,0.3333333333333333,6,0.0,2,0.0,0,1
the_stack_python_script_10841.py,0.0,0,0.0,0,1.0,10,0.4444444444444444,18,0.0,14,0.0,0,1
the_stack_python_script_43229.py,0.0,0,0.0,0,1.0,1,0.25,4,0.0,0,0.0,0,1
the_stack_python_script_17807.py,0.0,0,0.0,0,0.75,12,0.0,3,0.0,2,0.0,0,1
the_stack_python_script_10353.py,0.0,1,0.6666666666666666,15,1.0,26,0.16666666666666666,6,0.0,7,0.0,1,1
the_stack_python_script_17724.py,0.0,0,0.0,0,0.0,0,0.0,0,0.16666666666666666,6,0.0,0,1
the_stack_python_script_13191.py,0.0,0,0.5,2,0.6153846153846154,13,0.3333333333333333,3,0.42857142857142855,7,0.0,0,1
the_stack_python_script_43122.py,0.5,2,1.0,4,1.0,2,1.0,2,0.5,4,0.0,3,1
the_stack_python_script_42797.py,0.0,0,0.3333333333333333,3,1.0,20,0.2608695652173913,23,0.05,20,0.0,0,1
the_stack_python_script_10781.py,0.5,2,0.75,4,1.0,7,0.0,0,0.2857142857142857,7,0.0,0,1
the_stack_python_script_13187.py,1.0,2,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,1
the_stack_python_script_92628.py,0.0,1,0.5909090909090909,22,0.9166666666666666,24,0.3125,32,0.0,2,0.0,0,1
the_stack_python_script_10651.py,0.0,2,0.0,0,0.8571428571428571,7,0.6,10,0.6875,16,0.0,0,1
the_stack_python_script_11579.py,1.0,2,0.5454545454545454,11,0.8636363636363636,22,0.2,10,0.14285714285714285,14,0.0,2,1
the_stack_python_script_43053.py,0.0,0,1.0,12,0.9777777777777777,45,0.36363636363636365,11,0.35,20,0.0,1,1
the_stack_python_script_18089.py,0.0,0,0.6666666666666666,9,0.8888888888888888,18,0.13333333333333333,15,0.15384615384615385,52,0.6666666666666666,6,1
the_stack_python_script_92429.py,0.0,0,0.0,0,1.0,3,0.8,5,0.0,0,0.0,1,1
the_stack_python_script_17812.py,0.0,0,0.8571428571428571,7,0.9,10,0.17777777777777778,45,0.5294117647058824,17,0.16666666666666666,6,1
the_stack_python_script_1676.py,0.0,0,0.0,2,0.6923076923076923,13,0.0,3,0.0,1,0.0,0,1
the_stack_python_script_93038.py,0.0,0,0.0,0,0.8333333333333334,18,0.0,7,0.0,1,0.0,0,1
the_stack_python_script_80012.py,0.0,0,1.0,1,0.5161290322580645,31,0.09615384615384616,52,0.0,0,0.0,1,1
